,European Union Emissions Trading System (until 2018),,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market, 
2011-06-07,1,1.438840909,EUR,16.42, 
2011-06-08,1,1.438840909,EUR,, 
2011-06-09,1,1.438840909,EUR,, 
2011-06-10,1,1.438840909,EUR,, 
2011-06-14,1,1.438840909,EUR,16.26, 
2011-06-15,1,1.438840909,EUR,, 
2011-06-16,1,1.438840909,EUR,, 
2011-06-17,1,1.438840909,EUR,, 
2011-06-20,1,1.438840909,EUR,, 
2011-06-21,1,1.438840909,EUR,14.92, 
2011-06-22,1,1.438840909,EUR,, 
2011-06-23,1,1.438840909,EUR,, 
2011-06-24,1,1.438840909,EUR,, 
2011-06-27,1,1.438840909,EUR,, 
2011-06-28,1,1.438840909,EUR,12.89, 
2011-06-29,1,1.438840909,EUR,, 
2011-06-30,1,1.438840909,EUR,, 
2011-07-01,1,1.426428571,EUR,, 
2011-07-04,1,1.426428571,EUR,, 
2011-07-05,1,1.426428571,EUR,13.33, 
2011-07-06,1,1.426428571,EUR,, 
2011-07-07,1,1.426428571,EUR,, 
2011-07-08,1,1.426428571,EUR,, 
2011-07-11,1,1.426428571,EUR,, 
2011-07-12,1,1.426428571,EUR,11.54, 
2011-07-13,1,1.426428571,EUR,, 
2011-07-14,1,1.426428571,EUR,, 
2011-07-15,1,1.426428571,EUR,, 
2011-07-18,1,1.426428571,EUR,, 
2011-07-19,1,1.426428571,EUR,12.22, 
2011-07-20,1,1.426428571,EUR,, 
2011-07-21,1,1.426428571,EUR,, 
2011-07-22,1,1.426428571,EUR,, 
2011-07-25,1,1.426428571,EUR,, 
2011-07-26,1,1.426428571,EUR,12.87, 
2011-07-27,1,1.426428571,EUR,, 
2011-07-28,1,1.426428571,EUR,, 
2011-07-29,1,1.426428571,EUR,, 
2011-08-01,1,1.434321739,EUR,, 
2011-08-02,1,1.434321739,EUR,11.55, 
2011-08-03,1,1.434321739,EUR,, 
2011-08-04,1,1.434321739,EUR,, 
2011-08-05,1,1.434321739,EUR,, 
2011-08-08,1,1.434321739,EUR,, 
2011-08-09,1,1.434321739,EUR,10.55, 
2011-08-10,1,1.434321739,EUR,, 
2011-08-11,1,1.434321739,EUR,, 
2011-08-12,1,1.434321739,EUR,, 
2011-08-15,1,1.434321739,EUR,, 
2011-08-16,1,1.434321739,EUR,12.14, 
2011-08-17,1,1.434321739,EUR,, 
2011-08-18,1,1.434321739,EUR,, 
2011-08-19,1,1.434321739,EUR,, 
2011-08-22,1,1.434321739,EUR,, 
2011-08-23,1,1.434321739,EUR,12.55, 
2011-08-24,1,1.434321739,EUR,, 
2011-08-25,1,1.434321739,EUR,, 
2011-08-26,1,1.434321739,EUR,, 
2011-08-29,1,1.434321739,EUR,, 
