,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
2020-04-03,1,1.08619,EUR,17.9,, 
2020-04-06,1,1.08619,EUR,18.36,20.78, 
2020-04-07,1,1.08619,EUR,21.11,, 
2020-04-08,1,1.08619,EUR,20.74,, 
2020-04-09,1,1.08619,EUR,21.4,, 
2020-04-13,1,1.08619,EUR,,20.56, 
2020-04-14,1,1.08619,EUR,20.17,, 
2020-04-16,1,1.08619,EUR,20.1,, 
2020-04-17,1,1.08619,EUR,21.87,, 
2020-04-20,1,1.08619,EUR,21.24,20.73, 
2020-04-21,1,1.08619,EUR,20.4,, 
2020-04-22,1,1.08619,EUR,19.75,, 
2020-04-23,1,1.08619,EUR,20.24,, 
2020-04-24,1,1.08619,EUR,20.49,, 
2020-04-27,1,1.08619,EUR,20.4,19.84, 
2020-04-28,1,1.08619,EUR,19.99,, 
2020-04-30,1,1.08619,EUR,19.97,, 
2020-05-04,1,1.090185,EUR,,19.27, 
2020-05-05,1,1.090185,EUR,19.01,, 
2020-05-06,1,1.090185,EUR,17.75,, 
2020-05-07,1,1.090185,EUR,19,, 
2020-05-08,1,1.090185,EUR,19.38,, 
2020-05-11,1,1.090185,EUR,18.81,18.85, 
2020-05-12,1,1.090185,EUR,18.72,, 
2020-05-14,1,1.090185,EUR,18.37,, 
2020-05-15,1,1.090185,EUR,19.02,, 
2020-05-18,1,1.090185,EUR,19.3,20.83, 
2020-05-19,1,1.090185,EUR,20.02,, 
2020-05-20,1,1.090185,EUR,20.11,, 
2020-05-25,1,1.090185,EUR,,21.44, 
2020-05-26,1,1.090185,EUR,21.45,, 
2020-05-28,1,1.090185,EUR,20.95,, 
2020-05-29,1,1.090185,EUR,21.7,, 
2020-06-01,1,1.125459091,EUR,,22.11, 
2020-06-02,1,1.125459091,EUR,21.15,, 
2020-06-03,1,1.125459091,EUR,21.98,, 
2020-06-04,1,1.125459091,EUR,21.77,, 
2020-06-05,1,1.125459091,EUR,22.5,, 
2020-06-08,1,1.125459091,EUR,22.66,22.47, 
2020-06-09,1,1.125459091,EUR,22.3,, 
2020-06-11,1,1.125459091,EUR,22.2,, 
2020-06-12,1,1.125459091,EUR,22.15,, 
2020-06-15,1,1.125459091,EUR,21.8,23.26, 
2020-06-16,1,1.125459091,EUR,22.87,, 
2020-06-17,1,1.125459091,EUR,22.81,, 
2020-06-18,1,1.125459091,EUR,23.63,, 
2020-06-19,1,1.125459091,EUR,24.18,, 
2020-06-22,1,1.125459091,EUR,24.15,25.05, 
2020-06-23,1,1.125459091,EUR,24.85,, 
2020-06-25,1,1.125459091,EUR,25.15,, 
2020-06-26,1,1.125459091,EUR,24.9,, 
2020-06-29,1,1.125459091,EUR,24.74,27.32, 
2020-06-30,1,1.125459091,EUR,25.99,, 
2020-07-01,1,1.14633913,EUR,27.1,, 
2020-07-02,1,1.14633913,EUR,27.25,, 
2020-07-03,1,1.14633913,EUR,27,, 
2020-07-06,1,1.14633913,EUR,28.86,29.21, 
2020-07-07,1,1.14633913,EUR,29.34,, 
2020-07-09,1,1.14633913,EUR,28.48,, 
2020-07-10,1,1.14633913,EUR,27.66,, 
2020-07-13,1,1.14633913,EUR,30.04,28.45, 
2020-07-14,1,1.14633913,EUR,29.2,, 
2020-07-15,1,1.14633913,EUR,29.81,, 
2020-07-16,1,1.14633913,EUR,28.13,, 
2020-07-17,1,1.14633913,EUR,26.85,, 
2020-07-20,1,1.14633913,EUR,26.85,26.62, 
2020-07-21,1,1.14633913,EUR,26.34,, 
2020-07-23,1,1.14633913,EUR,26.76,, 
2020-07-24,1,1.14633913,EUR,26.57,, 
2020-07-27,1,1.14633913,EUR,25.53,25.75, 
2020-07-28,1,1.14633913,EUR,25.03,, 
2020-07-29,1,1.14633913,EUR,25.96,, 
2020-07-30,1,1.14633913,EUR,25.34,, 
2020-07-31,1,1.14633913,EUR,26.3,, 
2020-08-03,1,1.182809524,EUR,25.81,26.51, 
2020-08-04,1,1.182809524,EUR,25.95,, 
2020-08-06,1,1.182809524,EUR,26.95,, 
2020-08-07,1,1.182809524,EUR,26.16,, 
2020-08-10,1,1.182809524,EUR,26.92,25.96, 
2020-08-11,1,1.182809524,EUR,26.71,, 
2020-08-12,1,1.182809524,EUR,25.55,, 
2020-08-13,1,1.182809524,EUR,25.94,, 
2020-08-14,1,1.182809524,EUR,25.25,, 
2020-08-17,1,1.182809524,EUR,25.42,26.13, 
2020-08-18,1,1.182809524,EUR,26.05,, 
2020-08-20,1,1.182809524,EUR,25.7,, 
2020-08-21,1,1.182809524,EUR,25.36,, 
2020-08-24,1,1.182809524,EUR,26.6,28.52, 
2020-08-25,1,1.182809524,EUR,27.33,, 
2020-08-26,1,1.182809524,EUR,28.42,, 
